BlockSize,OutlierStatus,Variable,Comparison,ExperimentA,ExperimentB,N_A,N_B,Median_A,Median_B,Mean_A,Mean_B,CliffsDelta,MedianRatio_A_over_B
200.0,Without_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,566.445,565.1635,566.45821,565.1643300000001,1.0,1.0022674854267837
300.0,Without_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,121.10249999999999,847.7529999999999,121.10493000000001,847.75511,-1.0,0.1428511606564648
300.0,Without_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,849.67,847.7529999999999,849.7048,847.75511,1.0,1.0022612718563073
400.0,Without_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,161.47050000000002,1130.3294999999998,161.47229,1130.33018,-1.0,0.14285259298284264
400.0,Without_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,99,100,1132.936,1130.3294999999998,1132.9764040404038,1130.33018,1.0,1.0023059647651416
500.0,Without_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,99,100,201.837,1412.9045,201.8413939393939,1412.9073,-1.0,0.14285254240467066
500.0,Without_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,1416.15,1412.9045,1416.19013,1412.9073,1.0,1.0022970413074628
600.0,Without_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,98,100,242.2065,1695.4915,242.20915306122453,1695.4926699999999,-1.0,0.14285326703200812
600.0,Without_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,98,100,1699.395,1695.4915,1699.4357040816326,1695.4926699999999,1.0,1.0023022822585663
700.0,Without_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,96,282.576,1978.069,282.57863,1978.0753229166667,-1.0,0.1428544706984438
700.0,Without_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,99,96,1982.571,1978.069,1982.6443535353535,1978.0753229166667,1.0,1.0022759570065554
800.0,Without_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,97,98,322.944,2260.6585,322.9462680412371,2260.6620510204084,-1.0,0.14285395162515702
800.0,Without_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,98,98,2265.8525,2260.6585,2265.8845918367347,2260.6620510204084,1.0,1.0022975606443874
900.0,Without_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,98,98,363.31100000000004,2543.25,363.3138979591837,2543.247775510204,-1.0,0.14285304236705004
900.0,Without_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,97,98,2549.061,2543.25,2549.0895154639175,2543.247775510204,1.0,1.002284871719257
1000.0,Without_Outliers,Write Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,97,97,403.682,2825.821,403.68317525773193,2825.821195876288,-1.0,0.14285476680936268
1000.0,Without_Outliers,Write Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,93,97,2832.251,2825.821,2832.311172043011,2825.821195876288,1.0,1.0022754449061
100.0,Without_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,80.734,282.578,80.73737,282.58070000000004,-1.0,0.2857051858247988
100.0,Without_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,283.1305,282.578,283.13293,282.58070000000004,1.0,1.0019552123661433
200.0,Without_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,161.468,565.164,161.47168999999997,565.16329,-1.0,0.28570114161553106
200.0,Without_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,566.2625,565.164,566.2688300000001,565.16329,1.0,1.0019436836033435
300.0,Without_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,99,242.2045,847.744,242.20914000000005,847.7461515151516,-1.0,0.2857047646459308
300.0,Without_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,99,849.377,847.744,849.3961600000001,847.7461515151516,1.0,1.001926289068398
400.0,Without_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,99,99,322.941,1130.323,322.94533333333334,1130.3258585858584,-1.0,0.28570682893296867
400.0,Without_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,99,1132.5405,1130.323,1132.54987,1130.3258585858584,1.0,1.0019618286100522
500.0,Without_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,403.6815,1412.901,403.68131999999997,1412.90342,-1.0,0.2857111007777615
500.0,Without_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,100,1415.6955,1412.901,1415.6982999999996,1412.90342,1.0,1.0019778455815376
600.0,Without_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,99,100,484.416,1695.492,484.416090909091,1695.49269,-1.0,0.2857082192071682
600.0,Without_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,99,100,1698.791,1695.492,1698.7804141414144,1695.49269,1.0,1.0019457479009042
700.0,Without_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,99,95,565.153,1978.082,565.1529898989899,1978.0823052631579,-1.0,0.2857075692514264
700.0,Without_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,95,1981.891,1978.082,1981.9089200000005,1978.0823052631579,1.0,1.0019256026797676
800.0,Without_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,99,98,645.892,2260.654,645.8926363636365,2260.655102040816,-1.0,0.28571024137262935
800.0,Without_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,98,2265.053,2260.654,2265.07545,2260.655102040816,1.0,1.001945897072263
900.0,Without_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,100,726.6275,2543.2335000000003,726.6261,2543.23358,-1.0,0.28571010094039734
900.0,Without_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,98,100,2548.1634999999997,2543.2335000000003,2548.1871020408166,2543.23358,1.0,1.0019384771394366
1000.0,Without_Outliers,Read Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,98,100,807.366,2825.816,807.3666734693878,2825.817709999999,-1.0,0.28571074691345794
1000.0,Without_Outliers,Read Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,97,100,2831.317,2825.816,2831.3187628865976,2825.817709999999,1.0,1.0019466943353708
100.0,Without_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,99,0.0045000000000000005,0.001,0.08103999999999997,0.0018181818181818182,0.4491919191919192,4.5
100.0,Without_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,99,0.0075,0.001,0.09338000000000003,0.0018181818181818182,0.781010101010101,7.5
200.0,Without_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,99,0.0025,0.004,0.09215999999999998,0.0031818181818181824,0.035555555555555556,0.625
200.0,Without_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,99,0.008,0.004,0.09767999999999999,0.0031818181818181824,0.7966666666666666,2.0
300.0,Without_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,99,0.004,0.004,0.09381999999999996,0.003808080808080808,-0.008282828282828282,1.0
300.0,Without_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,99,0.009,0.004,0.09881000000000001,0.003808080808080808,0.9084848484848485,2.25
400.0,Without_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,100,99,0.006,0.004,0.12149999999999997,0.004212121212121212,0.19636363636363635,1.5
400.0,Without_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,100,99,0.009,0.004,0.12722999999999998,0.004212121212121212,0.9385858585858586,2.25
500.0,Without_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,99,99,0.006,0.004,0.12604040404040404,0.004262626262626263,0.23773084379144985,1.5
500.0,Without_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,99,99,0.009,0.004,0.1314242424242424,0.004262626262626263,0.9808182838485868,2.25
600.0,Without_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,96,99,0.007,0.005,0.015583333333333333,0.004545454545454545,0.3525883838383838,1.4
600.0,Without_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,96,99,0.009,0.005,0.019833333333333338,0.004545454545454545,1.0,1.7999999999999998
700.0,Without_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,96,99,0.007,0.005,0.013364583333333334,0.0046565656565656565,0.4255050505050505,1.4
700.0,Without_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,96,99,0.009,0.005,0.017229166666666667,0.0046565656565656565,0.9719065656565656,1.7999999999999998
800.0,Without_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,97,99,0.009,0.005,0.024092783505154636,0.004545454545454546,0.7973549932312819,1.7999999999999998
800.0,Without_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,97,99,0.011,0.005,0.02774226804123711,0.004545454545454546,0.9997917317504946,2.1999999999999997
900.0,Without_Outliers,Allocation Time (ms),purecap-benchmark ABI vs outside compartment,purecap-benchmark ABI,outside compartment,97,100,0.01,0.005,0.0161958762886598,0.00454,0.6558762886597939,2.0
900.0,Without_Outliers,Allocation Time (ms),purecap ABI vs outside compartment,purecap ABI,outside compartment,97,100,0.011,0.005,0.02041237113402062,0.00454,0.9997938144329896,2.1999999999999997
